,Latitude,Longitude,Depth_m
278,42.9311756029807,-74.2781971833723,-1.13
279,42.9311756029807,-74.2782061967453,-1.13
280,42.9311822023233,-74.2782061967453,-1.14
281,42.9311888016651,-74.2781971833723,-1.17
282,42.9311954010063,-74.2781971833723,-1.18
283,42.9312020003467,-74.2781971833723,-1.19
284,42.9312085996864,-74.2781971833723,-1.29
285,42.9312085996864,-74.2782061967453,-1.31
286,42.9312151990254,-74.2782061967453,-1.32
287,42.9312217983638,-74.2782061967453,-1.31
288,42.9312283977014,-74.2782061967453,-1.37
289,42.9312349970383,-74.2782061967453,-1.37
290,42.9312415963745,-74.2782061967453,-1.37
291,42.9312481957099,-74.2782061967453,-1.34
292,42.9312481957099,-74.2782152101183,-1.3
293,42.9312547950447,-74.2782152101183,-1.25
294,42.9312613943788,-74.2782152101183,-1.18
295,42.9312679937122,-74.2782152101183,-1.12
296,42.9312745930448,-74.2782152101183,-1.22
297,42.9312811923768,-74.2782152101183,-1.26
298,42.931287791708,-74.2782152101183,-1.26
299,42.9312943910385,-74.2782152101183,-1.28
300,42.9313009903684,-74.2782152101183,-1.33
301,42.9313075896975,-74.2782061967453,-1.4
302,42.9313141890259,-74.2782061967453,-1.38
303,42.9313207883536,-74.2782061967453,-1.42
304,42.9313273876806,-74.2782061967453,-1.49
305,42.9313339870069,-74.2782061967453,-1.54
306,42.9313339870069,-74.2781971833723,-1.53
307,42.9313405863325,-74.2782061967453,-1.6
308,42.9313405863325,-74.2781971833723,-1.56
309,42.9313405863325,-74.2781881699994,-1.57
310,42.9313405863325,-74.2781791566264,-1.64
311,42.9313339870069,-74.2781701432534,-1.67
312,42.9313273876806,-74.2781611298804,-1.67
313,42.9313273876806,-74.2781521165074,-1.75
314,42.9313207883536,-74.2781521165074,-1.71
315,42.9313207883536,-74.2781431031345,-1.71
316,42.9313141890259,-74.2781340897615,-1.74
317,42.9313075896975,-74.2781250763885,-1.74
318,42.9313075896975,-74.2781160630156,-1.74
