,Latitude,Longitude,Depth_m,x,y,z,Time
87,42.66951927,-84.64565819,-1.42,53.519,26.848,186.038,2003-01-08T13:54:15
88,42.6695259,-84.64566721,-1.43,50.43,23.419,185.922,2003-01-08T13:54:16
89,42.66953253,-84.64567622,-1.46,45.64,21.387,184.851,2003-01-08T13:54:17
90,42.66953915,-84.64568523,-1.49,49.707,27.687,187.21,2003-01-08T13:54:18
91,42.66954578,-84.64570326,-1.49,56.455,32.275,187.37,2003-01-08T13:54:20
92,42.66955241,-84.64571227,-1.51,56.379,32.698,185.977,2003-01-08T13:54:21
93,42.66955904,-84.6457303,-1.5,54.665,29.109,186.424,2003-01-08T13:54:23
94,42.66956566,-84.64573931,-1.55,53.852,28.65,186.961,2003-01-08T13:54:24
95,42.66957229,-84.64574833,-1.63,57.003,34.268,188.793,2003-01-08T13:54:26
96,42.66957892,-84.64576635,-1.66,58.38,36.255,188.947,2003-01-08T13:54:28
97,42.66957892,-84.64578438,-1.69,59.097,37.713,188.071,2003-01-08T13:54:30
98,42.66957892,-84.64580241,-1.63,55.861,37.744,186.769,2003-01-08T13:54:32
99,42.66958555,-84.64581142,-1.57,54.773,35.723,185.879,2003-01-08T13:54:33
100,42.66959217,-84.64582043,-1.51,51.737,28.419,185.369,2003-01-08T13:54:34
101,42.6695988,-84.64582945,-1.42,43.664,23.626,181.725,2003-01-08T13:54:35
102,42.66960543,-84.64583846,-1.35,44.628,25.419,183.396,2003-01-08T13:54:36
103,42.66961868,-84.64583846,-1.3,45.638,25.316,188.232,2003-01-08T13:54:37
104,42.66963194,-84.64583846,-1.21,26.809,12.435,188.431,2003-01-08T13:54:40
105,42.66963856,-84.64582945,-1.1,10.053,0.0,186.645,2003-01-08T13:54:42
106,42.66965182,-84.64582945,-1.1,11.131,0.061,185.003,2003-01-08T13:54:45
107,42.66966507,-84.64582945,-1.12,15.328,0.359,187.991,2003-01-08T13:54:48
108,42.66967833,-84.64582945,-1.11,18.767,0.497,189.07,2003-01-08T13:54:53
109,42.66968496,-84.64582043,-1.11,22.802,1.95,190.335,2003-01-08T13:54:55
110,42.66969821,-84.64582043,-1.14,41.636,11.911,191.943,2003-01-08T13:55:00
111,42.66970484,-84.64581142,-1.19,61.953,20.317,191.051,2003-01-08T13:55:04
112,42.66971809,-84.64581142,-1.23,65.874,-1.0,191.096,2003-01-08T13:55:08
113,42.66972472,-84.64580241,-1.27,62.976,-1.0,188.48,2003-01-08T13:55:11
114,42.66973797,-84.64580241,-1.27,64.938,-1.0,187.472,2003-01-08T13:55:14
115,42.66975123,-84.64580241,-1.25,63.804,-1.0,189.339,2003-01-08T13:55:16
116,42.66976448,-84.64580241,-1.21,63.123,46.944,191.237,2003-01-08T13:55:18
117,42.66977111,-84.64579339,-1.18,65.511,39.739,192.459,2003-01-08T13:55:21
118,42.66978436,-84.64579339,-1.19,61.756,32.533,191.309,2003-01-08T13:55:23
119,42.66979762,-84.64579339,-1.23,64.784,49.863,191.143,2003-01-08T13:55:26
120,42.66981087,-84.64579339,-1.11,74.963,48.013,194.003,2003-01-08T13:55:29
121,42.66982413,-84.64579339,-1.06,79.994,45.825,197.291,2003-01-08T13:55:32
122,42.66983076,-84.64578438,-1.09,78.797,48.939,198.667,2003-01-08T13:55:34
123,42.66983738,-84.64577537,-1.13,76.274,51.397,198.364,2003-01-08T13:55:36
124,42.66985064,-84.64577537,-1.07,72.261,43.846,196.992,2003-01-08T13:55:38
125,42.66985726,-84.64575734,-1.04,74.459,40.665,196.11,2003-01-08T13:55:40
126,42.66986389,-84.64574833,-1.1,75.049,39.911,194.261,2003-01-08T13:55:42
127,42.66987052,-84.6457303,-1.24,69.884,35.78,190.946,2003-01-08T13:55:44
128,42.66987715,-84.64572129,-1.25,69.493,-1.0,191.894,2003-01-08T13:55:46
129,42.6698904,-84.64572129,-1.25,69.716,-1.0,193.159,2003-01-08T13:55:48
130,42.66990366,-84.64572129,-1.36,69.134,33.693,192.137,2003-01-08T13:55:50
131,42.66991028,-84.64571227,-1.62,62.88,31.325,190.644,2003-01-08T13:55:51
132,42.66991691,-84.64572129,-1.65,59.721,30.146,189.486,2003-01-08T13:55:52
133,42.66993016,-84.64572129,-1.47,63.164,31.042,187.856,2003-01-08T13:55:53
134,42.66994342,-84.64572129,-1.4,34.409,15.41,177.73,2003-01-08T13:55:55
135,42.66995667,-84.64572129,-1.34,5.911,0.036,176.55,2003-01-08T13:55:58
136,42.66998981,-84.64571227,-1.28,35.926,18.585,185.332,2003-01-08T13:56:10
137,42.66999644,-84.64569425,-1.68,67.447,41.942,189.342,2003-01-08T13:56:17
138,42.66998981,-84.64568523,-1.84,71.039,48.689,192.115,2003-01-08T13:56:21
139,42.66998318,-84.64567622,-1.82,72.603,50.546,193.667,2003-01-08T13:56:24
140,42.66997656,-84.64568523,-1.91,66.109,47.293,194.695,2003-01-08T13:56:30
141,42.6699633,-84.64568523,-1.85,60.191,42.644,193.423,2003-01-08T13:56:33
142,42.66995005,-84.64568523,-1.85,61.289,41.353,192.133,2003-01-08T13:56:37
143,42.66994342,-84.64569425,-1.86,60.674,40.42,191.339,2003-01-08T13:56:40
144,42.66993016,-84.64569425,-1.84,61.27,40.834,192.18,2003-01-08T13:56:42
145,42.66991691,-84.64569425,-1.77,61.567,42.32,191.719,2003-01-08T13:56:44
146,42.66990366,-84.64569425,-1.47,62.558,45.301,189.033,2003-01-08T13:56:47
147,42.6698904,-84.64569425,-1.33,67.585,46.394,190.796,2003-01-08T13:56:49
148,42.66987715,-84.64569425,-1.42,63.219,36.798,190.971,2003-01-08T13:56:52
149,42.66986389,-84.64569425,-1.5,60.536,34.664,189.089,2003-01-08T13:56:54
150,42.66985064,-84.64569425,-1.58,63.857,40.294,188.998,2003-01-08T13:56:56
151,42.66983738,-84.64569425,-1.5,64.5,43.541,190.767,2003-01-08T13:56:59
152,42.66982413,-84.64569425,-1.42,65.574,47.151,191.972,2003-01-08T13:57:01
153,42.66981087,-84.64569425,-1.33,67.534,45.426,193.238,2003-01-08T13:57:03
154,42.66979762,-84.64569425,-1.33,66.686,40.246,193.455,2003-01-08T13:57:05
155,42.66979099,-84.64568523,-1.38,65.628,38.988,193.046,2003-01-08T13:57:06
156,42.66977774,-84.64568523,-1.4,68.493,39.067,194.308,2003-01-08T13:57:08
157,42.66976448,-84.64567622,-1.41,66.737,37.266,192.115,2003-01-08T13:57:10
158,42.66975123,-84.64567622,-1.59,63.304,39.567,188.592,2003-01-08T13:57:12
159,42.6697446,-84.64568523,-1.56,59.669,39.204,186.681,2003-01-08T13:57:14
160,42.66973135,-84.64569425,-1.62,55.192,35.256,185.631,2003-01-08T13:57:17
161,42.66971809,-84.64569425,-1.62,56.271,36.777,186.878,2003-01-08T13:57:19
162,42.66970484,-84.64570326,-1.69,59.777,38.993,189.789,2003-01-08T13:57:23
163,42.66969158,-84.64570326,-1.73,61.324,38.998,192.025,2003-01-08T13:57:27
164,42.66967833,-84.64570326,-1.75,58.715,37.271,191.363,2003-01-08T13:57:30
165,42.66966507,-84.64570326,-1.69,53.172,32.986,188.013,2003-01-08T13:57:34
166,42.66965182,-84.64570326,-1.69,53.606,31.501,187.206,2003-01-08T13:57:37
167,42.66963856,-84.64570326,-1.67,52.593,29.849,188.076,2003-01-08T13:57:40
168,42.66962531,-84.64570326,-1.63,48.484,27.884,187.177,2003-01-08T13:57:43
169,42.66961206,-84.64570326,-1.59,48.069,28.223,185.379,2003-01-08T13:57:45
170,42.6695988,-84.64570326,-1.57,48.231,27.555,184.479,2003-01-08T13:57:48
171,42.66958555,-84.64570326,-1.66,48.847,27.786,186.292,2003-01-08T13:57:51
172,42.66957229,-84.64570326,-1.55,50.574,29.349,186.633,2003-01-08T13:57:53
173,42.66955904,-84.64570326,-1.58,51.349,29.901,185.176,2003-01-08T13:57:56
174,42.66954578,-84.64570326,-1.53,55.354,32.965,186.135,2003-01-08T13:57:58
175,42.66953253,-84.64570326,-1.5,58.494,34.727,187.48,2003-01-08T13:58:01
